20/01/13 14:14
プロジェクトの翻訳状況

            	   分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	154678	779904	   8923897	   9269946	  181	
未翻訳：        	143788	760305	   8693110	   9029927	  181	
繰り返しを除いた：   	104994	633300	   7442779	   7751999	  181	
繰り返しを除いた未翻訳：	104903	633098	   7441466	   7750580	  181	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
memfiles.html           	    323	   297	        203	           203	   2050	  2012	       1639	          1639	         22359	        22001	             18273	                18273	         23639	        23267	             19502	                19502	
mersenne.html           	     64	    50	         27	            27	    368	   348	        147	           147	          4008	         3868	              1897	                 1897	          4065	         3919	              1947	                 1947	
mimetypes.html          	   2477	  2462	       2419	          2419	  12356	 12335	      12099	         12099	        301404	       301255	            298954	               298954	        306725	       306570	            304256	               304256	
monotimes.html          	    189	   167	        102	           102	   1022	   986	        702	           702	         11573	        11251	              8476	                 8476	         11942	        11594	              8806	                 8806	
mysql.html              	   4932	  4511	       3442	          3442	  20120	 19286	      16857	         16857	        261546	       250010	            227252	               227252	        266223	       254274	            231450	               231450	
nativesockets.html      	    748	   714	        454	           454	   3649	  3591	       2781	          2781	         45154	        44492	             36455	                36455	         47131	        46441	             38188	                38188	
nep1.html               	    246	   237	         94	            94	   1500	  1488	        970	           970	         11932	        11848	              7784	                 7784	         13049	        12962	              8688	                 8688	
net.html                	   1271	  1212	        759	           759	   6975	  6867	       5274	          5274	         83426	        82064	             67130	                67130	         86932	        85517	             69939	                69939	
nimc.html               	    703	   693	        585	           585	   4732	  4718	       4317	          4317	         33168	        33072	             28870	                28870	         36639	        36539	             32217	                32217	
nimgrep.html            	     55	    51	         40	            40	    398	   391	        200	           200	          2998	         2959	              1152	                 1152	          3162	         3120	              1305	                 1305	
niminst.html            	    189	   179	        121	           121	   1416	  1402	       1138	          1138	         10850	        10754	              8060	                 8060	         11691	        11591	              8863	                 8863	
nimprof.html            	     67	    55	         28	            28	    406	   388	        182	           182	          4177	         4047	              2031	                 2031	          4268	         4132	              2112	                 2112	
nims.html               	    182	   181	        119	           119	   1402	  1399	       1130	          1130	         12086	        12074	              9572	                 9572	         13047	        13033	             10497	                10497	
nimscript.html          	    840	   811	        525	           525	   4043	  3997	       3148	          3148	         47610	        47128	             38996	                38996	         49169	        48654	             40332	                40332	
nimsuggest.html         	    113	   106	         45	            45	   1176	  1166	        546	           546	          7817	         7757	              3406	                 3406	          8694	         8631	              3903	                 3903	
nimtracker.html         	     27	    19	          3	             3	    212	   200	          7	             7	          1936	         1872	                45	                   45	          1948	         1880	                49	                   49	
nre.html                	    777	   718	        463	           463	   4187	  4086	       3393	          3393	         52845	        51624	             44602	                44602	         54946	        53683	             46630	                46630	
odbcsql.html            	   5351	  4741	       4313	          4313	  23231	 22019	      20752	         20752	        252283	       235455	            218124	               218124	        256156	       238726	            221288	               221288	
oids.html               	    141	   126	         72	            72	    723	   701	        413	           413	          7948	         7780	              5268	                 5268	          8147	         7972	              5421	                 5421	
openssl.html            	   2229	  1998	       1593	          1593	  10789	 10335	       9291	          9291	        129096	       122880	            112162	               112162	        131304	       124863	            114109	               114109	
options.html            	    394	   341	        222	           222	   2279	  2195	       1720	          1720	         25273	        24503	             20153	                20153	         26200	        25399	             20982	                20982	
os.html                 	   2496	  2266	       1335	          1335	  12084	 11666	       9433	          9433	        139330	       135328	            112181	               112181	        145605	       141399	            117761	               117761	
ospaths.html            	    126	   118	         41	            41	    406	   394	        131	           131	          6359	         6295	              3617	                 3617	          6468	         6400	              3721	                 3721	
osproc.html             	    560	   509	        315	           315	   2918	  2827	       2159	          2159	         33525	        32729	             26720	                26720	         35036	        34200	             28061	                28061	
oswalkdir.html          	     68	    54	         11	            11	    435	   415	         99	            99	          4468	         4320	              1064	                 1064	          4745	         4591	              1093	                 1093	
overview.html           	     51	    47	         31	            31	    367	   360	        165	           165	          3068	         3029	              1176	                 1176	          3210	         3168	              1309	                 1309	
packaging.html          	     49	    48	         39	            39	    437	   434	        248	           248	          3263	         3251	              1472	                 1472	          3450	         3436	              1652	                 1652	
parsecfg.html           	    418	   403	        267	           267	   2354	  2332	       1828	          1828	         30592	        30424	             25177	                25177	         31954	        31777	             26386	                26386	
parsecsv.html           	    250	   220	        141	           141	   1569	  1523	       1209	          1209	         21774	        21398	             18372	                18372	         22488	        22096	             19052	                19052	
parsejson.html          	    366	   348	        235	           235	   1793	  1765	       1337	          1337	         22268	        22016	             17865	                17865	         23663	        23399	             19159	                19159	
parseopt.html           	    376	   339	        222	           222	   2231	  2174	       1708	          1708	         27428	        26977	             22430	                22430	         28913	        28442	             23814	                23814	
parsesql.html           	    269	   249	        159	           159	   1370	  1338	        970	           970	         17614	        17306	             13820	                13820	         18147	        17827	             14288	                14288	
parseutils.html         	    482	   420	        243	           243	   3609	  3518	       2647	          2647	         48654	        47666	             40768	                40768	         50932	        49913	             42657	                42657	
parsexml.html           	    455	   441	        300	           300	   2591	  2573	       1958	          1958	         31174	        31072	             25729	                25729	         33313	        33207	             27540	                27540	
